,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.1,-79.24,35.01,86,90,8.05,overcast clouds
1,Portland,US,45.52,-122.68,44.01,100,75,9.17,broken clouds
2,Hasaki,JP,35.73,140.83,32.0,55,75,1.12,broken clouds
3,Castro,BR,-24.79,-50.01,71.1,76,54,6.33,broken clouds
4,Chimore,BO,-16.98,-65.13,90.18,48,66,4.07,broken clouds
5,Tangi,PK,34.3,71.65,55.4,43,75,4.7,haze
6,Hobart,AU,-42.88,147.33,60.8,77,90,6.93,overcast clouds
7,Rio Gallegos,AR,-51.62,-69.22,59.0,30,75,23.04,broken clouds
8,Clyde River,CA,70.47,-68.59,-27.4,74,1,3.36,clear sky
9,Dunedin,NZ,-45.87,170.5,54.0,82,87,4.0,overcast clouds
10,Tual,ID,-5.67,132.75,84.79,77,100,14.9,overcast clouds
11,Rikitea,PF,-23.12,-134.97,78.13,72,17,7.16,few clouds
12,Hilo,US,19.73,-155.09,69.8,83,90,6.93,overcast clouds
13,Sioux Lookout,CA,50.1,-91.92,21.2,92,40,5.82,mist
14,Maloy,NO,61.94,5.11,32.0,79,0,8.05,clear sky
15,Flinders,AU,-34.58,150.86,68.0,94,19,7.0,few clouds
16,Kruisfontein,ZA,-34.0,24.73,76.6,67,0,11.48,clear sky
17,Pochutla,MX,15.74,-96.47,82.99,65,5,4.68,clear sky
18,Vozhega,RU,60.47,40.22,27.25,99,100,6.87,snow
19,Brazzaville,CG,-4.27,15.28,84.2,62,20,5.82,few clouds
20,Scottsbluff,US,41.87,-103.67,36.0,73,1,6.93,clear sky
21,Puteyets,RU,65.17,57.09,0.28,92,83,7.27,broken clouds
22,Georgetown,MY,5.41,100.34,78.01,94,40,6.78,heavy intensity rain
23,Saint-Philippe,RE,-21.36,55.77,78.8,69,0,25.28,clear sky
24,Mataura,NZ,-46.19,168.86,53.01,97,100,8.01,overcast clouds
25,Cabo San Lucas,MX,22.89,-109.91,55.99,57,20,2.24,few clouds
26,Ushuaia,AR,-54.8,-68.3,48.2,61,40,23.04,scattered clouds
27,Campo Gobierno,MX,24.65,-107.54,53.01,57,75,8.05,broken clouds
28,Bluff,NZ,-46.6,168.33,53.01,97,100,8.01,overcast clouds
29,Rahuri,IN,19.38,74.65,75.29,46,5,6.11,clear sky
30,El Alto,PE,-4.27,-81.21,75.2,69,40,17.22,scattered clouds
31,Palana,RU,59.12,159.97,-0.09,91,96,3.42,overcast clouds
32,Grand Baie,MU,-20.02,57.58,78.01,68,11,8.01,few clouds
33,Lanigay,PH,13.32,123.5,73.17,96,100,3.18,overcast clouds
34,Yulara,AU,-25.24,130.99,82.4,32,75,14.99,broken clouds
35,Husavik,IS,66.04,-17.34,46.4,65,20,26.4,few clouds
36,Cayenne,GF,4.93,-52.33,82.4,78,90,9.17,overcast clouds
37,Te Anau,NZ,-45.42,167.72,49.41,89,90,1.86,overcast clouds
38,Lebu,CL,-37.62,-73.65,62.2,78,27,18.23,scattered clouds
39,Bredasdorp,ZA,-34.53,20.04,75.2,69,8,17.22,clear sky
40,Albany,US,42.6,-73.97,32.0,77,99,4.25,overcast clouds
41,Chuy,UY,-33.7,-53.46,75.74,57,36,12.62,scattered clouds
42,Punta Arenas,CL,-53.15,-70.92,53.6,46,40,31.09,scattered clouds
43,Vaini,TO,-21.2,-175.2,75.2,100,75,5.82,light rain
44,Takab,IR,36.4,47.11,27.88,83,91,2.48,overcast clouds
45,Warrnambool,AU,-38.38,142.48,59.0,92,100,17.25,overcast clouds
46,Tuktoyaktuk,CA,69.45,-133.04,-11.2,83,20,12.75,few clouds
47,Big Spring,US,32.25,-101.48,35.6,64,1,10.29,clear sky
48,Eyl,SO,7.98,49.82,76.6,65,66,22.82,broken clouds
49,Qandala,SO,11.47,49.87,74.93,67,1,6.26,clear sky
50,Oppdal,NO,62.59,9.69,17.82,73,0,2.77,clear sky
51,Severo-Kurilsk,RU,50.68,156.12,23.86,93,100,29.51,light snow
52,Busselton,AU,-33.65,115.33,62.01,66,6,4.0,clear sky
53,Mangaratiba,BR,-22.96,-44.04,82.4,74,90,8.05,overcast clouds
54,Khor,RU,47.89,134.95,-8.61,87,0,11.88,clear sky
55,Butaritari,KI,3.07,172.79,81.63,80,38,20.07,scattered clouds
56,Barrow,US,71.29,-156.79,-4.0,76,90,4.7,overcast clouds
57,Marawi,PH,8.0,124.29,75.99,93,81,1.01,broken clouds
58,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,74,75,6.93,broken clouds
59,Padang,ID,-0.95,100.35,75.2,83,40,2.24,heavy intensity rain
60,Hokitika,NZ,-42.72,170.97,54.86,84,86,4.07,overcast clouds
61,Torbay,CA,47.67,-52.73,30.0,92,90,24.16,snow
62,Bambous Virieux,MU,-20.34,57.76,78.8,65,40,11.41,scattered clouds
63,Haapiti,PF,-17.57,-149.87,73.4,78,20,3.36,moderate rain
64,Beloha,MG,-25.17,45.05,84.33,48,3,21.65,clear sky
