City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Castro,BR,71.1,broken clouds,-24.79,-50.01,CHACARA BAILLY
10,Tual,ID,84.79,overcast clouds,-5.67,132.75,Grand Vilia Hotel
11,Rikitea,PF,78.13,few clouds,-23.12,-134.97,Pension Maro'i
16,Kruisfontein,ZA,76.6,clear sky,-34.0,24.73,Oyster Bay House Rental
17,Pochutla,MX,82.99,clear sky,15.74,-96.47,Hotel Posada San Jose
19,Brazzaville,CG,84.2,few clouds,-4.27,15.28,Hotel Murex
22,Georgetown,MY,78.01,heavy intensity rain,5.41,100.34,Cititel Penang
23,Saint-Philippe,RE,78.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
29,Rahuri,IN,75.29,clear sky,19.38,74.65,P.W.D RESTHOUSE
30,El Alto,PE,75.2,scattered clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
32,Grand Baie,MU,78.01,few clouds,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
33,Lanigay,PH,73.17,overcast clouds,13.32,123.5,Villa KMK Resort
34,Yulara,AU,82.4,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
36,Cayenne,GF,82.4,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
39,Bredasdorp,ZA,75.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
41,Chuy,UY,75.74,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
43,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
48,Eyl,SO,76.6,broken clouds,7.98,49.82,Amiin Hotel
49,Qandala,SO,74.93,clear sky,11.47,49.87,
53,Mangaratiba,BR,82.4,overcast clouds,-22.96,-44.04,Portobello Resort & Safari
55,Butaritari,KI,81.63,scattered clouds,3.07,172.79,Isles Sunset Lodge
57,Marawi,PH,75.99,broken clouds,8.0,124.29,Derogongan Residence
58,Sao Joao Da Barra,BR,80.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
59,Padang,ID,75.2,heavy intensity rain,-0.95,100.35,Mercure Padang
62,Bambous Virieux,MU,78.8,scattered clouds,-20.34,57.76,Casa Tia Villa
63,Haapiti,PF,73.4,moderate rain,-17.57,-149.87,Linareva Moorea Beach Resort
64,Beloha,MG,84.33,clear sky,-25.17,45.05,
67,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
70,Vila Velha,BR,82.99,light rain,-20.33,-40.29,Hotel Vitória Palace
71,Port Alfred,ZA,75.99,clear sky,-33.59,26.89,The Halyards Hotel
75,Atuona,PF,77.63,broken clouds,-9.8,-139.03,Villa Enata
76,Hithadhoo,MV,83.01,light rain,-0.6,73.08,Scoop Guest House
77,Avarua,CK,80.6,few clouds,-21.21,-159.78,Paradise Inn
82,Bexhill,AU,71.6,overcast clouds,-28.77,153.35,Halls Country Cottages
83,San Cristobal,VE,71.6,light rain,7.77,-72.22,Pirineos
84,Kavieng,PG,83.03,light rain,-2.57,150.8,Nusa Island Retreat
85,Hambantota,LK,79.95,moderate rain,6.12,81.12,Bungalow 63
89,Mersing,MY,71.6,moderate rain,2.43,103.84,Timotel Hotel
92,Bilma,NE,89.76,clear sky,18.69,12.92,Expeditions Ténére voyages
95,Buchanan,LR,89.6,light rain,5.88,-10.05,Kamaneahn Hotel Inc
97,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
103,Puerto Ayora,EC,77.0,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
104,Viedma,AR,80.76,heavy intensity rain,-40.81,-63.0,Hotel Cristal
105,Cape Town,ZA,84.2,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
106,Yarada,IN,75.2,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
